epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,714.659,1.35635,1.11891,1.47728,0.75492,0.60544,0.70067,0.4308,1.36121,1.11834,1.4765,0.0009308,0.0009308,0.0009308
56,727.43,1.35386,1.09344,1.45886,0.72589,0.62052,0.70053,0.43209,1.33939,1.09675,1.47452,0.000911,0.000911,0.000911
57,740.162,1.36711,1.10546,1.47488,0.73934,0.62195,0.70908,0.4358,1.36916,1.10143,1.48513,0.0008912,0.0008912,0.0008912
58,753.027,1.33141,1.06115,1.45844,0.75024,0.59474,0.70288,0.44064,1.33464,1.08163,1.46604,0.0008714,0.0008714,0.0008714
59,765.862,1.32004,1.05594,1.44443,0.74794,0.61765,0.70905,0.44416,1.35476,1.07028,1.47676,0.0008516,0.0008516,0.0008516
60,778.722,1.33425,1.06833,1.44562,0.72915,0.63558,0.71172,0.44408,1.33905,1.10432,1.45905,0.0008318,0.0008318,0.0008318
61,791.562,1.32559,1.07237,1.44948,0.72278,0.6303,0.70594,0.44358,1.33871,1.08428,1.46383,0.000812,0.000812,0.000812
62,804.124,1.31861,1.05418,1.43615,0.7601,0.60258,0.71635,0.4453,1.33382,1.08135,1.44949,0.0007922,0.0007922,0.0007922
63,816.768,1.31538,1.05082,1.44173,0.74212,0.63271,0.72235,0.447,1.33326,1.06726,1.45562,0.0007724,0.0007724,0.0007724
64,829.485,1.30039,1.03737,1.41654,0.72095,0.62123,0.70063,0.43613,1.3486,1.09001,1.4713,0.0007526,0.0007526,0.0007526
65,842.303,1.29186,1.03995,1.42192,0.75242,0.62482,0.71717,0.45059,1.34706,1.07706,1.46911,0.0007328,0.0007328,0.0007328
66,854.939,1.29979,1.03253,1.43626,0.75133,0.6329,0.71849,0.45019,1.31407,1.05562,1.44007,0.000713,0.000713,0.000713
67,867.594,1.29368,1.01438,1.41974,0.7666,0.63145,0.729,0.45716,1.32143,1.04035,1.45219,0.0006932,0.0006932,0.0006932
68,880.178,1.29653,1.01431,1.42377,0.73515,0.64347,0.72583,0.4587,1.3109,1.05264,1.44601,0.0006734,0.0006734,0.0006734
69,892.8,1.29521,1.02735,1.41928,0.76482,0.6322,0.72643,0.45873,1.3146,1.04148,1.43902,0.0006536,0.0006536,0.0006536
70,905.557,1.27923,1.00716,1.41357,0.77929,0.63199,0.72553,0.46226,1.31832,1.06602,1.45269,0.0006338,0.0006338,0.0006338
71,918.171,1.27907,1.01236,1.40004,0.72735,0.63917,0.72021,0.45614,1.3047,1.03578,1.42901,0.000614,0.000614,0.000614
72,930.898,1.26573,0.98661,1.3985,0.75405,0.63121,0.71919,0.45499,1.31851,1.04695,1.43473,0.0005942,0.0005942,0.0005942
73,943.397,1.27847,0.98246,1.40365,0.73014,0.65136,0.72648,0.46052,1.31801,1.04489,1.43995,0.0005744,0.0005744,0.0005744
74,956.073,1.28128,0.99284,1.41559,0.73737,0.64993,0.73497,0.45955,1.32795,1.0297,1.44741,0.0005546,0.0005546,0.0005546
75,968.754,1.26211,0.96916,1.38716,0.75424,0.66069,0.73663,0.4683,1.30819,1.00035,1.43741,0.0005348,0.0005348,0.0005348
76,981.451,1.25146,0.99302,1.40037,0.78119,0.6198,0.72938,0.46577,1.30629,1.01926,1.42552,0.000515,0.000515,0.000515
77,993.998,1.25582,0.98758,1.38118,0.73606,0.65018,0.72215,0.45577,1.30689,1.03014,1.43239,0.0004952,0.0004952,0.0004952
